season,player_code,role,dc,hit,mins,opp_str,own_str,conceded,is_home
2025-2026,427623,CB,18.0,1.0,90,1.238896551724138,1.561027397260274,1.0,False
2025-2026,209036,CB,12.0,1.0,90,1.238896551724138,1.8621383647798742,1.0,False
2025-2026,613804,FB,13.0,1.0,90,1.5676973684210527,1.2106569343065694,2.0,True
2025-2026,247348,FB,7.0,0.0,90,1.238896551724138,1.561027397260274,1.0,False
2025-2026,437499,CB,9.0,0.0,90,1.238896551724138,1.561027397260274,1.0,False
2025-2026,158534,FB,7.0,0.0,90,1.5676973684210527,1.2106569343065694,2.0,True
2025-2026,233963,CB,16.0,1.0,90,1.5676973684210527,1.2106569343065694,2.0,True
2025-2026,214048,CB,17.0,1.0,90,1.5676973684210527,1.2106569343065694,2.0,True
2025-2026,431248,CB,12.0,1.0,90,1.378445945945946,0.9484567901234568,3.0,True
2025-2026,523705,FB,11.0,1.0,90,1.378445945945946,0.9484567901234568,3.0,True
2025-2026,516939,CB,20.0,1.0,90,1.378445945945946,0.9484567901234568,3.0,True
